Model,Param Grid,Best Params,Best CV Accuracy
Random Forest,"n_estimators:[100,150], max_depth:[10,20]","n_estimators=150, max_depth=20",0.1246
Decision Tree,"max_depth:[5,10,15,20], min_samples_split:[2,5,10]","shallow max_depth, min_samples_split=2",0.1245
